City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
214,Carnarvon,AU,69.8,clear sky,-24.87,113.63,Hospitality Carnarvon
216,Chimbote,PE,69.71,broken clouds,-9.09,-78.58,Hotel Briliá
218,Ketchikan,US,44.6,moderate rain,55.34,-131.65,Snows Cove Lodge
220,Sungaipenuh,ID,64.44,broken clouds,-2.08,101.38,Hotel Jaya Wisata 2
224,Camacha,PT,62.6,shower rain,33.08,-16.33,Hotel Porto Santo & Spa
225,Tikrit,IQ,61.54,clear sky,34.61,43.68,فندق تكريت بلازا
235,Benghazi,LY,66.2,clear sky,32.12,20.07,Tibesti Hotel
238,Vestmanna,FO,44.6,broken clouds,62.16,-7.17,Budget Guesthouse Borgustova
239,Bardiyah,LY,65.03,scattered clouds,31.76,25.09,بورتو بردية
241,Coos Bay,US,42.01,clear sky,43.37,-124.22,Best Western Holiday Hotel
243,Yangjiang,CN,66.31,overcast clouds,21.85,111.97,HUALUXE Yangjiang City Center
245,Erzin,TR,66.0,clear sky,36.96,36.2,Artemis Otel
247,Udon Thani,TH,70.0,overcast clouds,17.33,102.83,P.T.K. Apartment
253,Guerrero Negro,MX,57.07,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
255,Coihaique,CL,51.8,scattered clouds,-45.58,-72.07,Diego De Almagro Coyhaique
259,Tabas,IR,60.8,overcast clouds,33.6,56.92,شرکت معماری مهراز شایگان آراد
262,Sakakah,SA,64.4,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
269,Bereda,ES,57.99,overcast clouds,43.27,-7.54,Pazo de Verdes
278,Lompoc,US,41.0,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
280,Lagoa,PT,58.78,overcast clouds,39.05,-27.98,Casa Das Faias
288,Arganil,PT,62.01,overcast clouds,40.22,-8.05,Boutique B&B Casa do Rio
290,Denizli,TR,55.4,clear sky,37.84,29.07,Anemon Denizli Hotel
293,Ashington,GB,48.2,broken clouds,50.93,-0.39,Tirol House
294,San Patricio,US,57.2,broken clouds,28.02,-97.52,"Motel 6 Sinton, TX"
300,Alexandria,EG,62.6,scattered clouds,31.22,29.96,Royal Crown Hotel
302,Kaeo,NZ,64.0,overcast clouds,-35.1,173.78,Bushido Lodge
306,Puerto Madryn,AR,63.57,clear sky,-42.77,-65.04,Hotel Tolosa
310,Burnie,AU,46.0,clear sky,-41.07,145.92,Beachfront Voyager Motor Inn
321,Westbury,US,48.99,clear sky,40.76,-73.59,Hilton Garden Inn Westbury
322,Newport,GB,48.0,broken clouds,51.59,-3.0,ibis budget Newport
324,Narragansett,US,50.0,clear sky,41.45,-71.45,Hampton Inn South Kingstown - Newport Area
326,Yeppoon,AU,69.8,clear sky,-23.13,150.73,Villa Mar Colina
336,Geraldton,AU,64.4,scattered clouds,-28.77,114.6,Broadwater Mariner Resort
343,Port Shepstone,ZA,68.25,broken clouds,-30.74,30.45,My Den Beachfront B&B And Self-Catering
344,Lebanon,US,43.0,clear sky,36.21,-86.29,Hampton Inn & Suites Lebanon
346,Sitka,US,42.8,broken clouds,57.05,-135.33,Westmark Sitka
350,Ures,MX,55.99,clear sky,29.43,-110.4,Hotel HACIENDA San Francisco
352,Turayf,SA,59.0,scattered clouds,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
356,Kahta,TR,51.8,clear sky,37.79,38.62,Kommagene Hotel
357,Aguimes,ES,62.01,broken clouds,27.91,-15.45,Hotel Villa de Aguimes
358,Port Hardy,CA,44.6,overcast clouds,50.7,-127.42,Airport Inn
364,Prince Rupert,CA,42.8,light rain,54.32,-130.32,Crest Hotel
368,Dharchula,IN,53.67,clear sky,29.85,80.53,Mahara Hotel
369,Fortuna,US,43.0,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
377,Gryfino,PL,45.0,light rain,53.25,14.49,Ryś
380,Calahorra,ES,60.8,clear sky,42.31,-1.97,Parador de Calahorra
381,Neftcala,AZ,45.93,moderate rain,39.37,49.25,Göl hotel
384,Rajbiraj,NP,66.09,clear sky,26.53,86.75,Kolahatta
390,San Ramon,US,45.0,clear sky,37.78,-121.98,San Ramon Marriott
392,Vila,PT,55.0,overcast clouds,42.03,-8.16,Hotel Castrum Villae
398,Mazara Del Vallo,IT,55.4,scattered clouds,37.66,12.59,Vizier Resort & Spa
401,Chicama,PE,62.6,mist,-7.84,-79.15,Hospedaje Punta Cana PERU
402,Maryville,US,53.01,overcast clouds,35.76,-83.97,Holiday Inn Express & Suites Alcoa (Knoxville Airport)
409,Salinas,US,42.8,clear sky,36.68,-121.66,Laurel Inn & Conference Center
411,Northam,GB,52.0,broken clouds,51.03,-4.22,Durrant House Hotel
420,Port Lincoln,AU,59.11,broken clouds,-34.73,135.87,Port Lincoln Hotel
421,Wonthaggi,AU,55.99,clear sky,-38.6,145.59,Wonthaggi Caravans & Trailers
425,Vila Praia De Ancora,PT,63.0,few clouds,41.81,-8.85,Hotel Meira
429,Comodoro Rivadavia,AR,64.4,few clouds,-45.87,-67.5,Austral Hotel
432,Lamar,US,43.0,overcast clouds,33.67,-95.58,Kings Inn Paris TX
437,Mayo,US,51.8,clear sky,38.89,-76.51,Resorts Resource Group International
446,Decatur,US,42.01,clear sky,39.84,-88.95,Haworth Cottage
447,Ngunguru,NZ,64.0,overcast clouds,-35.62,174.5,Pacific Rendezvous Motel Resort
