City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Kenora,CA,49.82,-94.43,19.4,85,90,19.46,overcast clouds
84,Cabo San Lucas,MX,22.89,-109.91,59.0,62,5,17.22,clear sky
85,Olafsvik,IS,64.89,-23.71,36.25,87,100,19.89,overcast clouds
86,Sao Gotardo,BR,-19.31,-46.05,80.01,60,0,1.99,clear sky
87,Tiksi,RU,71.69,128.87,0.09,89,100,18.34,overcast clouds
88,Labuhan,ID,-6.88,112.21,75.54,91,100,13.29,light rain
89,Barrow,US,71.29,-156.79,5.0,77,90,8.05,haze
90,Turtas,RU,58.94,69.13,4.95,94,0,2.71,clear sky
91,Kuliyapitiya,LK,7.47,80.04,82.4,74,20,9.17,thunderstorm
92,Torbay,CA,47.67,-52.73,45.0,100,90,24.16,fog
93,Yaan,NG,7.38,8.57,94.91,18,91,6.8,overcast clouds
94,Westerly,US,41.38,-71.83,48.99,60,1,6.69,clear sky
95,Seoul,KR,37.57,126.98,32.0,81,1,7.38,clear sky
96,Georgetown,MY,5.41,100.34,82.4,88,20,3.36,few clouds
97,Ponta Do Sol,PT,32.67,-17.1,62.6,63,40,18.34,light intensity shower rain
98,Kavieng,PG,-2.57,150.8,81.91,81,100,20.0,heavy intensity rain
99,Bredasdorp,ZA,-34.53,20.04,69.8,49,0,9.17,clear sky
100,Salvador,SV,13.83,-88.92,84.2,100,0,6.93,clear sky
101,Butaritari,KI,3.07,172.79,80.76,83,32,15.61,moderate rain
102,Aden,YE,12.78,45.04,79.59,77,4,11.3,clear sky
103,Dunedin,NZ,-45.87,170.5,53.01,72,94,1.01,overcast clouds
104,Quesnel,CA,53.0,-122.5,28.4,100,90,5.82,overcast clouds
105,Kyra,RU,49.58,111.98,6.66,86,0,4.07,clear sky
106,Airai,TL,-8.93,125.41,63.0,100,14,1.48,few clouds
107,Socorro,US,31.65,-106.3,33.8,55,5,3.36,clear sky
108,College,US,64.86,-147.8,15.01,84,75,3.36,broken clouds
109,Flinders,AU,-34.58,150.86,66.0,70,31,5.01,scattered clouds
110,Hilo,US,19.73,-155.09,66.2,77,1,3.36,clear sky
111,Pevek,RU,69.7,170.31,-0.47,94,100,8.79,overcast clouds
112,Bambous Virieux,MU,-20.34,57.76,77.0,78,20,10.29,few clouds
113,Fengrun,CN,39.83,118.12,27.79,76,0,3.71,clear sky
114,Aleksandrov Gay,RU,50.15,48.57,28.0,95,24,14.2,few clouds
115,Mamurras,AL,41.58,19.69,60.8,38,90,3.36,overcast clouds
116,Namibe,AO,-15.2,12.15,76.53,67,32,11.92,scattered clouds
117,Tateyama,JP,34.98,139.87,51.8,66,40,9.17,scattered clouds
118,Brownsville,US,25.9,-97.5,60.8,87,90,9.17,overcast clouds
119,Shiyan,CN,32.65,110.78,43.0,47,0,2.84,clear sky
120,Puerto Ayora,EC,-0.74,-90.35,70.0,97,97,1.99,light rain
121,Marrakesh,MA,31.63,-8.01,62.6,63,75,6.93,broken clouds
122,Puruaran,MX,19.1,-101.53,57.2,87,90,0.38,overcast clouds
123,Saint-Francois,FR,46.42,3.91,39.2,80,90,6.93,overcast clouds
124,Sibolga,ID,1.74,98.78,77.25,81,87,1.63,overcast clouds
125,Nome,US,64.5,-165.41,8.6,71,1,4.7,clear sky
126,Workington,GB,54.64,-3.54,45.0,95,100,5.23,overcast clouds
127,Mattru,SL,7.62,-11.83,82.94,79,97,3.65,moderate rain
128,Castro,BR,-24.79,-50.01,78.28,68,100,8.3,moderate rain
129,Orangeburg,US,33.49,-80.86,55.99,87,90,6.93,overcast clouds
130,Dhidhdhoo,MV,6.88,73.1,83.48,69,61,10.47,broken clouds
131,Dromolaxia,CY,34.88,33.59,68.0,64,20,4.7,few clouds
132,Khatanga,RU,71.97,102.5,12.49,96,100,21.45,light snow
133,Kudahuvadhoo,MV,2.67,72.89,82.71,63,23,5.08,few clouds
134,Te Anau,NZ,-45.42,167.72,46.24,83,100,2.28,overcast clouds
135,Andapa,MG,-14.65,49.65,72.39,82,35,2.91,scattered clouds
136,Tuktoyaktuk,CA,69.45,-133.04,-4.0,83,40,10.29,scattered clouds
137,Hay River,CA,60.82,-115.8,24.8,68,100,18.34,overcast clouds
138,Alofi,NU,-19.06,-169.92,77.0,94,100,4.7,light rain
139,Buluang,PH,13.31,123.34,76.82,85,16,5.84,few clouds
140,Erenhot,CN,43.65,111.98,3.36,90,0,5.5,clear sky
141,Liverpool,GB,53.41,-2.98,48.99,100,90,3.36,haze
142,Biltine,TD,14.53,20.92,91.54,11,0,9.51,clear sky
143,Buchanan,LR,5.88,-10.05,82.4,83,75,5.82,broken clouds
144,Sobolevo,RU,54.43,31.9,32.72,98,100,4.63,light rain
145,Lengshuitan,CN,26.41,111.6,46.78,75,63,4.76,broken clouds
146,Mae Sot,TH,16.72,98.57,70.0,84,60,2.42,broken clouds
147,Kununurra,AU,-15.77,128.73,84.2,74,57,5.82,broken clouds
148,Kutum,SD,14.2,24.67,78.96,15,0,10.0,clear sky
149,Humaita,BR,-7.51,-63.02,94.95,50,40,1.21,moderate rain
150,Hobart,AU,-42.88,147.33,50.0,71,2,6.93,clear sky
151,Roswell,US,34.02,-84.36,54.0,100,90,9.98,mist
152,Aripuana,BR,-9.17,-60.63,95.59,43,20,2.64,few clouds
153,Grand Gaube,MU,-20.01,57.66,77.0,73,1,10.0,clear sky
154,Lavrentiya,RU,65.58,-171.0,17.85,91,33,9.93,scattered clouds
155,Tasiilaq,GL,65.61,-37.64,12.2,61,0,2.24,clear sky
156,Nakhon Phanom,TH,17.33,104.42,65.73,68,35,7.63,scattered clouds
157,Lincoln,US,40.8,-96.67,37.0,64,1,19.46,clear sky
158,Nanortalik,GL,60.14,-45.24,29.26,90,1,6.42,clear sky
159,Tan An,VN,10.53,106.42,78.8,94,75,2.24,broken clouds
160,Namatanai,PG,-3.67,152.43,77.38,89,100,14.14,light rain
161,Arlit,NE,18.74,7.39,90.9,13,0,3.83,clear sky
162,Surgut,RU,61.25,73.42,-2.2,84,75,4.47,broken clouds
163,Buala,SB,-8.14,159.59,78.84,78,100,5.86,light rain
164,Baglung,NP,28.27,83.59,55.65,44,1,4.05,clear sky
165,Mahebourg,MU,-20.41,57.7,77.0,78,20,10.29,few clouds
166,Antofagasta,CL,-23.65,-70.4,70.0,72,40,14.99,scattered clouds
167,Garca,BR,-22.21,-49.66,90.0,34,47,7.0,scattered clouds
168,Berlevag,NO,70.86,29.09,26.6,92,20,27.51,few clouds
169,Severo-Kurilsk,RU,50.68,156.12,29.07,91,83,8.43,broken clouds
